AccSpeciesName,TraitID,TraitName,OriglName,OrigValueStr,OrigUncertaintyStr,StdValue,UnitName,ErrorRisk,Reference,Comment
Ulmus alata,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,235.66434,NA,23.56643,mm2 mg-1,1.3537,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Ulmus alata,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,228.06723,NA,22.80672,mm2 mg-1,1.2865,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Ulmus alata,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,227.18786,NA,22.71879,mm2 mg-1,1.2785,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Ulmus alata,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,268.53933,NA,26.85393,mm2 mg-1,1.6215,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Ulmus alata,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,223.66667,NA,22.36667,mm2 mg-1,1.2465,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Ulmus alata,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,258.76777,NA,25.87678,mm2 mg-1,1.5455,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Ulmus alata,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,233.77926,NA,23.37793,mm2 mg-1,1.3372,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Ulmus alata,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,248.24121,NA,24.82412,mm2 mg-1,1.4603,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Ulmus alata,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,249.51456,NA,24.95146,mm2 mg-1,1.4708,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Ulmus alata,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,276.81499,NA,27.6815,mm2 mg-1,1.6837,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Ulmus alata,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,260.58394,NA,26.05839,mm2 mg-1,1.5598,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Ulmus alata,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,245.09804,NA,24.5098,mm2 mg-1,1.4342,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Ulmus alata,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,283.94737,NA,28.39474,mm2 mg-1,1.7414,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Ulmus alata,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,283.33333,NA,28.33333,mm2 mg-1,1.7343,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Ulmus alata,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,302.331,NA,30.2331,mm2 mg-1,1.9486,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Quercus nigra,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,139.88842,NA,13.98884,mm2 mg-1,1.3567,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Quercus nigra,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,124.9053,NA,12.49053,mm2 mg-1,0.9826,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Quercus nigra,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,138.03206,NA,13.80321,mm2 mg-1,1.3126,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Quercus nigra,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,145.86614,NA,14.58661,mm2 mg-1,1.4949,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Quercus nigra,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,120.46479,NA,12.04648,mm2 mg-1,0.8631,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Quercus nigra,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,131.18397,NA,13.1184,mm2 mg-1,1.1446,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Carpinus caroliniana,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,274.55357,NA,27.45536,mm2 mg-1,1.2053,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Carpinus caroliniana,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,265.34653,NA,26.53465,mm2 mg-1,1.1353,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Carpinus caroliniana,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,283.08824,NA,28.30882,mm2 mg-1,1.268,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Carpinus caroliniana,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,303.89222,NA,30.38922,mm2 mg-1,1.4135,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Carpinus caroliniana,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,310.69519,NA,31.06952,mm2 mg-1,1.4589,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Carpinus caroliniana,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,289.73913,NA,28.97391,mm2 mg-1,1.3157,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Liquidambar styraciflua,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,147.03602,NA,14.7036,mm2 mg-1,1.1902,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Liquidambar styraciflua,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,149.15689,NA,14.91569,mm2 mg-1,1.131,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Liquidambar styraciflua,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,158.19192,NA,15.81919,mm2 mg-1,0.8879,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Liquidambar styraciflua,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,190.25415,NA,19.02541,mm2 mg-1,0.9147,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Liquidambar styraciflua,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,161.84615,NA,16.18462,mm2 mg-1,0.7935,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Quercus laurifolia,3106,Plant height vegetative,Height_(m),15,NA,15,m,1.5948,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.",Height of the plant (m)
Quercus laurifolia,55,Leaf dry mass (single leaf),Leaf Mass (g),0.2499,NA,249.9,mg,0.8148,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Mass (g), dry leaf mass, measured on pressed leaves, dried at room temperature."
Quercus laurifolia,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",Leaf Area (cm^2),28.44,NA,2844,mm2,0.8734,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Quercus laurifolia,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",Leaf Area (cm^2),27.71,NA,2771,mm2,0.8093,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Liquidambar styraciflua,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,168.14686,NA,16.81469,mm2 mg-1,0.6614,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Quercus laurifolia,3106,Plant height vegetative,Height_(m),15,NA,15,m,1.5948,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.",Height of the plant (m)
Quercus laurifolia,55,Leaf dry mass (single leaf),Leaf Mass (g),0.1036,NA,103.6,mg,1.6631,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Mass (g), dry leaf mass, measured on pressed leaves, dried at room temperature."
Quercus laurifolia,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",Leaf Area (cm^2),12.64,NA,1264,mm2,1.126,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Quercus laurifolia,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",Leaf Area (cm^2),12.57,NA,1257,mm2,1.1396,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Carpinus caroliniana,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,282.98755,NA,28.29876,mm2 mg-1,1.2673,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Quercus laurifolia,3106,Plant height vegetative,Height_(m),15,NA,15,m,1.5948,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.",Height of the plant (m)
Quercus laurifolia,55,Leaf dry mass (single leaf),Leaf Mass (g),0.1182,NA,118.2,mg,1.4904,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Mass (g), dry leaf mass, measured on pressed leaves, dried at room temperature."
Quercus laurifolia,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",Leaf Area (cm^2),15.44,NA,1544,mm2,0.8014,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Quercus laurifolia,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",Leaf Area (cm^2),15.11,NA,1511,mm2,0.8176,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Carpinus caroliniana,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,270.49419,NA,27.04942,mm2 mg-1,1.1747,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Quercus laurifolia,3106,Plant height vegetative,Height_(m),15,NA,15,m,1.5948,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.",Height of the plant (m)
Quercus laurifolia,55,Leaf dry mass (single leaf),Leaf Mass (g),0.181,NA,181,mg,0.9322,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Mass (g), dry leaf mass, measured on pressed leaves, dried at room temperature."
Quercus laurifolia,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",Leaf Area (cm^2),19.99,NA,1999,mm2,0.6069,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Quercus laurifolia,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",Leaf Area (cm^2),19.6,NA,1960,mm2,0.6217,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Carpinus caroliniana,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,272.41993,NA,27.24199,mm2 mg-1,1.1893,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Quercus laurifolia,3106,Plant height vegetative,Height_(m),15,NA,15,m,1.5948,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.",Height of the plant (m)
Quercus laurifolia,55,Leaf dry mass (single leaf),Leaf Mass (g),0.2287,NA,228.7,mg,0.6516,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Mass (g), dry leaf mass, measured on pressed leaves, dried at room temperature."
Quercus laurifolia,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",Leaf Area (cm^2),28.3,NA,2830,mm2,0.8612,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Quercus laurifolia,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",Leaf Area (cm^2),27.77,NA,2777,mm2,0.8146,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Carpinus caroliniana,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,343.06785,NA,34.30678,mm2 mg-1,1.6621,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Quercus laurifolia,3106,Plant height vegetative,Height_(m),15,NA,15,m,1.5948,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.",Height of the plant (m)
Quercus laurifolia,55,Leaf dry mass (single leaf),Leaf Mass (g),0.1855,NA,185.5,mg,0.9001,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Mass (g), dry leaf mass, measured on pressed leaves, dried at room temperature."
Quercus laurifolia,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",Leaf Area (cm^2),22.47,NA,2247,mm2,0.5188,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Quercus laurifolia,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",Leaf Area (cm^2),22.03,NA,2203,mm2,0.5337,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Carpinus caroliniana,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,263.76404,NA,26.3764,mm2 mg-1,1.123,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Quercus laurifolia,3106,Plant height vegetative,Height_(m),12.5,NA,12.5,m,1.5005,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.",Height of the plant (m)
Quercus laurifolia,55,Leaf dry mass (single leaf),Leaf Mass (g),0.1249,NA,124.9,mg,1.4182,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Mass (g), dry leaf mass, measured on pressed leaves, dried at room temperature."
Quercus laurifolia,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",Leaf Area (cm^2),13.19,NA,1319,mm2,1.0209,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Quercus laurifolia,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",Leaf Area (cm^2),13.02,NA,1302,mm2,1.0529,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Carpinus caroliniana,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,278.86598,NA,27.8866,mm2 mg-1,1.2372,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Quercus laurifolia,3106,Plant height vegetative,Height_(m),12.5,NA,12.5,m,1.5005,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.",Height of the plant (m)
Quercus laurifolia,55,Leaf dry mass (single leaf),Leaf Mass (g),0.2016,NA,201.6,mg,0.791,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Mass (g), dry leaf mass, measured on pressed leaves, dried at room temperature."
Quercus laurifolia,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",Leaf Area (cm^2),22.54,NA,2254,mm2,0.5165,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Quercus laurifolia,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",Leaf Area (cm^2),21.97,NA,2197,mm2,0.5358,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Liquidambar styraciflua,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,203.71591,NA,20.37159,mm2 mg-1,1.0549,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Quercus laurifolia,3106,Plant height vegetative,Height_(m),12.5,NA,12.5,m,1.5005,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.",Height of the plant (m)
Quercus laurifolia,55,Leaf dry mass (single leaf),Leaf Mass (g),0.161,NA,161,mg,1.0856,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Mass (g), dry leaf mass, measured on pressed leaves, dried at room temperature."
Quercus laurifolia,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",Leaf Area (cm^2),17.3,NA,1730,mm2,0.7157,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
